architecture,checksum,domain,category,check_id,label,status,detail
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,heat,allocation,heat-budget-contract,Cross-domain budget contract,pass,"monitor package: $3,000 per planning unit; 4-24 units; normalized diminishing-return curve declared."
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,heat,sequential,heat-evidence-calibration,Sequential evidence-calibration contract,pass,20 observations target full support; prior residual need 60%.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,heat,adaptive,heat-simulation-transition,Multi-round evidence-transition contract,pass,Learning rate 0.60; residual response 0.88.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,heat,robust-policy,heat-trajectory-uncertainty,Trajectory-uncertainty calibration contract,pass,Cost scale 0.90; failure sensitivity 0.85; environmental sensitivity 1.05.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,heat,spatial-deployment,heat-spatial-deployment,Domain-specific spatial deployment contract,pass,0.75 km spacing; 24% shareable infrastructure; 72% co-location failure sensitivity.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,heat,field-campaign,heat-field-campaign,Inspection and reserve-site contract,pass,Inspection priority 0.82; reserve reliability floor 0.70; replacement criticality 0.78.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,heat,live-campaign,heat-live-campaign,Live outcome and adaptive replacement contract,pass,Conditional operational credit 0.78; live-outcome reliability floor 0.68.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,heat,commissioning,heat-commissioning-operations,"Commissioning, calibration, maintenance, and asset-replacement contract",pass,continuous-monitor; 80% data-completeness floor; 72% replacement reliability floor.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,heat,adapter,heat-scenarios,Domain scenario contract,pass,"live-city, live-national, synthetic"
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,heat,interface,heat-presets,Public case-study presets,pass,4 domain-matched presets registered.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,heat,interface,heat-onboarding,Domain-aware onboarding,pass,9 ordered walkthrough steps with 9 unique identifiers.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,heat,release,heat-health,Required-source health coverage,pass,2 required services are domain-scoped.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,heat,reliability,heat-fallback,Explicit scientific fallback,pass,Systematic candidate mesh with explicit modeled/proxy labels
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,heat,intervention,heat-intervention,Pre/post-intervention roles,pass,"treatment, control, boundary, spillover, supplemental"
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,heat,claims,heat-claims,Field and transport claim boundary,pass,Weather and land-surface trend + spatial GP residual; Continuous surface covariance.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,air,model,air-model,Shared model configuration,pass,air kernel with declared GP scale.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,air,model,air-objectives,Complete objective vector,pass,10 shared objective terms are configured.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,air,capabilities,air-capabilities,Public scientific workflow,pass,11 required workflow capabilities are declared.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,air,allocation,air-budget-contract,Cross-domain budget contract,pass,"calibrated station package: $8,000 per planning unit; 3-16 units; normalized diminishing-return curve declared."
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,air,sequential,air-evidence-calibration,Sequential evidence-calibration contract,pass,8 observations target full support; prior residual need 68%.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,air,adaptive,air-simulation-transition,Multi-round evidence-transition contract,pass,Learning rate 0.54; residual response 0.82.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,air,robust-policy,air-trajectory-uncertainty,Trajectory-uncertainty calibration contract,pass,Cost scale 1.15; failure sensitivity 1.10; environmental sensitivity 1.18.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,air,spatial-deployment,air-spatial-deployment,Domain-specific spatial deployment contract,pass,1.10 km spacing; 20% shareable infrastructure; 82% co-location failure sensitivity.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,air,field-campaign,air-field-campaign,Inspection and reserve-site contract,pass,Inspection priority 0.96; reserve reliability floor 0.78; replacement criticality 0.95.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,air,live-campaign,air-live-campaign,Live outcome and adaptive replacement contract,pass,Conditional operational credit 0.66; live-outcome reliability floor 0.78.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,air,commissioning,air-commissioning-operations,"Commissioning, calibration, maintenance, and asset-replacement contract",pass,calibrated-station; 85% data-completeness floor; 80% replacement reliability floor.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,air,adapter,air-scenarios,Domain scenario contract,pass,"live-national-air, synthetic"
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,air,interface,air-presets,Public case-study presets,pass,4 domain-matched presets registered.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,air,interface,air-onboarding,Domain-aware onboarding,pass,10 ordered walkthrough steps with 10 unique identifiers.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,air,release,air-health,Required-source health coverage,pass,3 required services are domain-scoped.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,air,reliability,air-fallback,Explicit scientific fallback,pass,Regional atmospheric prior + systematic candidates when optional monitors or hosts fail
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,air,intervention,air-intervention,Pre/post-intervention roles,pass,"treatment, control, boundary, spillover, background, collocation"
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,air,claims,air-claims,Field and transport claim boundary,pass,Atmospheric/source trend + anisotropic GP residual; Meteorological downwind anisotropy.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,soil,model,soil-model,Shared model configuration,pass,soil kernel with declared GP scale.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,soil,model,soil-objectives,Complete objective vector,pass,10 shared objective terms are configured.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,soil,capabilities,soil-capabilities,Public scientific workflow,pass,11 required workflow capabilities are declared.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,soil,allocation,soil-budget-contract,Cross-domain budget contract,pass,sample + laboratory package: $750 per planning unit; 8-40 units; normalized diminishing-return curve declared.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,soil,sequential,soil-evidence-calibration,Sequential evidence-calibration contract,pass,12 observations target full support; prior residual need 56%.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,soil,adaptive,soil-simulation-transition,Multi-round evidence-transition contract,pass,Learning rate 0.50; residual response 0.76.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,soil,robust-policy,soil-trajectory-uncertainty,Trajectory-uncertainty calibration contract,pass,Cost scale 0.78; failure sensitivity 0.70; environmental sensitivity 0.92.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,soil,spatial-deployment,soil-spatial-deployment,Domain-specific spatial deployment contract,pass,0.42 km spacing; 14% shareable infrastructure; 48% co-location failure sensitivity.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,soil,field-campaign,soil-field-campaign,Inspection and reserve-site contract,pass,Inspection priority 0.70; reserve reliability floor 0.68; replacement criticality 0.72.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,soil,live-campaign,soil-live-campaign,Live outcome and adaptive replacement contract,pass,Conditional operational credit 0.74; live-outcome reliability floor 0.66.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,soil,commissioning,soil-commissioning-operations,"Commissioning, calibration, maintenance, and asset-replacement contract",pass,sample-program; 90% data-completeness floor; 68% replacement reliability floor.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,soil,adapter,soil-scenarios,Domain scenario contract,pass,"live-national-soil, synthetic"
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,soil,interface,soil-presets,Public case-study presets,pass,4 domain-matched presets registered.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,soil,interface,soil-onboarding,Domain-aware onboarding,pass,11 ordered walkthrough steps with 11 unique identifiers.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,soil,release,soil-health,Required-source health coverage,pass,2 required services are domain-scoped.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,soil,reliability,soil-fallback,Explicit scientific fallback,pass,Systematic sample mesh; contaminants remain observation-dependent
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,soil,intervention,soil-intervention,Pre/post-intervention roles,pass,"treatment, control, boundary, supplemental"
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,soil,claims,soil-claims,Field and transport claim boundary,pass,SSURGO/source trend + localized GP residual; Short-range persistent spatial covariance.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,water,model,water-model,Shared model configuration,pass,water kernel with declared GP scale.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,water,model,water-objectives,Complete objective vector,pass,10 shared objective terms are configured.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,water,capabilities,water-capabilities,Public scientific workflow,pass,11 required workflow capabilities are declared.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,water,allocation,water-budget-contract,Cross-domain budget contract,pass,"station or sampling package: $5,000 per planning unit; 4-20 units; normalized diminishing-return curve declared."
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,water,sequential,water-evidence-calibration,Sequential evidence-calibration contract,pass,10 observations target full support; prior residual need 66%.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,water,adaptive,water-simulation-transition,Multi-round evidence-transition contract,pass,Learning rate 0.56; residual response 0.84.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,water,robust-policy,water-trajectory-uncertainty,Trajectory-uncertainty calibration contract,pass,Cost scale 1.05; failure sensitivity 1.00; environmental sensitivity 1.12.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,water,spatial-deployment,water-spatial-deployment,Domain-specific spatial deployment contract,pass,0.90 km spacing; 22% shareable infrastructure; 68% co-location failure sensitivity.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,water,field-campaign,water-field-campaign,Inspection and reserve-site contract,pass,Inspection priority 0.90; reserve reliability floor 0.74; replacement criticality 0.90.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,water,live-campaign,water-live-campaign,Live outcome and adaptive replacement contract,pass,Conditional operational credit 0.69; live-outcome reliability floor 0.74.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,water,commissioning,water-commissioning-operations,"Commissioning, calibration, maintenance, and asset-replacement contract",pass,water-station-or-sampling-program; 82% data-completeness floor; 76% replacement reliability floor.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,water,adapter,water-scenarios,Domain scenario contract,pass,"live-national-water, synthetic"
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,water,interface,water-presets,Public case-study presets,pass,4 domain-matched presets registered.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,water,interface,water-onboarding,Domain-aware onboarding,pass,9 ordered walkthrough steps with 9 unique identifiers.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,water,release,water-health,Required-source health coverage,pass,3 required services are domain-scoped.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,water,reliability,water-fallback,Explicit scientific fallback,pass,Systematic sampling mesh + explicitly labeled geometric flow proxy
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,water,intervention,water-intervention,Pre/post-intervention roles,pass,"treatment, control, upstream, downstream, supplemental"
Socially Constrained Sequential Bayesian Environmental Monitoring Design,8322e1c2,water,claims,water-claims,Field and transport claim boundary,pass,Source/flow trend + directional GP residual; Flow-axis and branch-aware covariance approximation.
