host_id,label,category,latitude,longitude,eligible_domains,review_status,permission_status,access_status,power_status,safety_status,maintenance_status,reliability,owner_or_agency,reviewer,verification_date,notes,field_verification_required,inventory_checksum
reviewed-host-01,Municipal facility 01,municipal,39.64324324324325,-105.11738738738738,heat|air|soil|water,verified,verified,verified,verified,verified,verified,0.76,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,false,8064ab58
reviewed-host-28,Industrial-edge property 28,industrial-edge,39.781351351351354,-104.89036036036036,heat|air|soil|water,conditional,pending,verified,pending,verified,verified,0.94,Illustrative local partner,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-29,Watershed access 29,watershed-access,39.69810810810811,-105.0518018018018,heat|air|soil|water,conditional,verified,pending,verified,verified,verified,0.76,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-30,Background/reference site 30,background,39.79837837837838,-104.95846846846847,heat|air|soil|water,conditional,verified,verified,verified,pending,verified,0.79,Illustrative local partner,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-31,Municipal facility 31,municipal,39.715135135135135,-104.86513513513513,heat|air|soil|water,conditional,pending,verified,verified,verified,verified,0.8200000000000001,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-32,School or childcare 32,school,39.81540540540541,-105.02657657657657,heat|air|soil|water,conditional,verified,verified,verified,verified,pending,0.85,Illustrative local partner,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-33,Park or recreation 33,park,39.73216216216216,-104.93324324324324,heat|air|soil|water,verified,verified,verified,pending,verified,verified,0.88,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,false,8064ab58
reviewed-host-34,Transit or mobility 34,transit,39.64891891891892,-105.09468468468468,heat|air|soil|water,conditional,verified,pending,verified,verified,verified,0.91,Illustrative local partner,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-35,Community facility 35,community,39.749189189189195,-105.00135135135135,heat|air|soil|water,conditional,verified,verified,verified,pending,pending,0.94,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-36,Utility infrastructure 36,utility,39.66594594594595,-104.90801801801801,heat|air|soil|water,conditional,pending,verified,verified,verified,verified,0.76,Illustrative local partner,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-37,Treatment facility 37,treatment,39.76621621621622,-105.06945945945945,heat|air|soil|water,conditional,verified,pending,verified,verified,verified,0.79,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-38,Industrial-edge property 38,industrial-edge,39.682972972972976,-104.97612612612612,heat|air|soil|water,conditional,verified,verified,verified,pending,verified,0.8200000000000001,Illustrative local partner,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-39,Watershed access 39,watershed-access,39.78324324324325,-104.88279279279278,heat|air|soil|water,conditional,pending,verified,verified,verified,verified,0.85,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-40,Background/reference site 40,background,39.7,-105.04423423423422,heat|air|soil|water,conditional,verified,verified,verified,verified,pending,0.88,Illustrative local partner,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-41,Municipal facility 41,municipal,39.800270270270275,-104.95090090090089,heat|air|soil|water,verified,verified,verified,verified,verified,verified,0.91,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,false,8064ab58
reviewed-host-42,School or childcare 42,school,39.71702702702703,-105.11234234234234,heat|air|soil|water,conditional,verified,pending,verified,verified,verified,0.94,Illustrative local partner,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-43,Park or recreation 43,park,39.8172972972973,-105.01900900900901,heat|air|soil|water,conditional,verified,verified,verified,pending,pending,0.76,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-44,Transit or mobility 44,transit,39.734054054054056,-104.92567567567568,heat|air|soil|water,conditional,pending,verified,verified,verified,verified,0.79,Illustrative local partner,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-45,Community facility 45,community,39.65081081081081,-105.08711711711712,heat|air|soil|water,conditional,verified,pending,verified,verified,verified,0.8200000000000001,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-46,Utility infrastructure 46,utility,39.75108108108108,-104.99378378378378,heat|air|soil|water,infeasible,denied,verified,verified,pending,verified,0.85,Illustrative local partner,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-47,Treatment facility 47,treatment,39.667837837837844,-104.90045045045045,heat|air|soil|water,infeasible,pending,denied,verified,verified,verified,0.88,Illustrative public agency,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
reviewed-host-48,Industrial-edge property 48,industrial-edge,39.76810810810811,-105.06189189189189,heat|air|soil|water,infeasible,verified,verified,verified,denied,pending,0.91,Illustrative local partner,Controlled v2.6 example,2026-07-25,Synthetic field-review record for reproducibility; not a real property.,true,8064ab58
