architecture,checksum,domain,category,check_id,label,status,detail
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,soil,spatial-deployment,soil-spatial-deployment,Domain-specific spatial deployment contract,pass,0.42 km spacing; 14% shareable infrastructure; 48% co-location failure sensitivity.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,soil,field-campaign,soil-field-campaign,Inspection and reserve-site contract,pass,Inspection priority 0.70; reserve reliability floor 0.68; replacement criticality 0.72.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,soil,live-campaign,soil-live-campaign,Live outcome and adaptive replacement contract,pass,Conditional operational credit 0.74; live-outcome reliability floor 0.66.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,soil,commissioning,soil-commissioning-operations,"Commissioning, calibration, maintenance, and asset-replacement contract",pass,sample-program; 90% data-completeness floor; 68% replacement reliability floor.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,soil,adapter,soil-scenarios,Domain scenario contract,pass,"live-national-soil, synthetic"
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,soil,interface,soil-presets,Public case-study presets,pass,4 domain-matched presets registered.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,soil,interface,soil-onboarding,Domain-aware onboarding,pass,11 ordered walkthrough steps with 11 unique identifiers.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,soil,release,soil-health,Required-source health coverage,pass,2 required services are domain-scoped.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,soil,reliability,soil-fallback,Explicit scientific fallback,pass,Systematic sample mesh; contaminants remain observation-dependent
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,soil,intervention,soil-intervention,Pre/post-intervention roles,pass,"treatment, control, boundary, supplemental"
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,soil,claims,soil-claims,Field and transport claim boundary,pass,SSURGO/source trend + localized GP residual; Short-range persistent spatial covariance.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,water,model,water-model,Shared model configuration,pass,water kernel with declared GP scale.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,water,model,water-objectives,Complete objective vector,pass,10 shared objective terms are configured.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,water,capabilities,water-capabilities,Public scientific workflow,pass,11 required workflow capabilities are declared.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,water,allocation,water-budget-contract,Cross-domain budget contract,pass,"station or sampling package: $5,000 per planning unit; 4-20 units; normalized diminishing-return curve declared."
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,water,sequential,water-evidence-calibration,Sequential evidence-calibration contract,pass,10 observations target full support; prior residual need 66%.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,water,adaptive,water-simulation-transition,Multi-round evidence-transition contract,pass,Learning rate 0.56; residual response 0.84.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,water,robust-policy,water-trajectory-uncertainty,Trajectory-uncertainty calibration contract,pass,Cost scale 1.05; failure sensitivity 1.00; environmental sensitivity 1.12.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,water,spatial-deployment,water-spatial-deployment,Domain-specific spatial deployment contract,pass,0.90 km spacing; 22% shareable infrastructure; 68% co-location failure sensitivity.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,water,field-campaign,water-field-campaign,Inspection and reserve-site contract,pass,Inspection priority 0.90; reserve reliability floor 0.74; replacement criticality 0.90.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,water,live-campaign,water-live-campaign,Live outcome and adaptive replacement contract,pass,Conditional operational credit 0.69; live-outcome reliability floor 0.74.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,water,commissioning,water-commissioning-operations,"Commissioning, calibration, maintenance, and asset-replacement contract",pass,water-station-or-sampling-program; 82% data-completeness floor; 76% replacement reliability floor.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,water,adapter,water-scenarios,Domain scenario contract,pass,"live-national-water, synthetic"
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,water,interface,water-presets,Public case-study presets,pass,4 domain-matched presets registered.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,water,interface,water-onboarding,Domain-aware onboarding,pass,9 ordered walkthrough steps with 9 unique identifiers.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,water,release,water-health,Required-source health coverage,pass,3 required services are domain-scoped.
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,water,reliability,water-fallback,Explicit scientific fallback,pass,Systematic sampling mesh + explicitly labeled geometric flow proxy
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,water,intervention,water-intervention,Pre/post-intervention roles,pass,"treatment, control, upstream, downstream, supplemental"
Socially Constrained Sequential Bayesian Environmental Monitoring Design,6be571eb,water,claims,water-claims,Field and transport claim boundary,pass,Source/flow trend + directional GP residual; Flow-axis and branch-aware covariance approximation.
