record_type,assignment_id,host_id,domain,role,state,phase,asset_id,uptime,data_completeness,ticket_severity,ticket_status,replacement_host_id,event_id,previous_hash,event_hash,notes,checksum
assignment,reviewed-host-15:heat:exposure,reviewed-host-15,heat,exposure,commissioned,,heat-asset-013,0.92,0.88,none,none,,controlled-commission-013,,,,6318a385
assignment,reviewed-host-24:air:source-oriented,reviewed-host-24,air,source-oriented,commissioned,,air-asset-014,0.98,0.93,none,none,,controlled-commission-014,,,,6318a385
assignment,reviewed-host-24:heat:reference,reviewed-host-24,heat,reference,offline-or-blocked,,heat-asset-015,0.18,0.22,critical,open,reviewed-host-04,controlled-commission-015,,,replacement-ready,6318a385
assignment,reviewed-host-27:water:treatment-system,reviewed-host-27,water,treatment-system,commissioned,,water-asset-016,0.95,0.9,none,none,,controlled-commission-016,,,,6318a385
assignment,reviewed-host-27:air:community,reviewed-host-27,air,community,provisional,1,air-asset-017,0.85,0.76,high,open,,controlled-commission-017,,,,6318a385
assignment,reviewed-host-32:soil:community-safety,reviewed-host-32,soil,community-safety,commissioned,,soil-asset-018,1,0.98,none,none,,controlled-commission-018,,,,6318a385
assignment,reviewed-host-32:heat:exposure,reviewed-host-32,heat,exposure,commissioned,,heat-asset-019,0.92,0.88,none,none,,controlled-commission-019,,,,6318a385
assignment,reviewed-host-35:soil:community-safety,reviewed-host-35,soil,community-safety,commissioned,,soil-asset-020,1,0.98,none,none,,controlled-commission-020,,,,6318a385
assignment,reviewed-host-35:heat:reference,reviewed-host-35,heat,reference,commissioned,,heat-asset-021,0.94,0.88,none,none,,controlled-commission-021,,,,6318a385
assignment,reviewed-host-39:water:downstream-receptor,reviewed-host-39,water,downstream-receptor,commissioned,,water-asset-022,0.95,0.9,none,none,,controlled-commission-022,,,,6318a385
assignment,reviewed-host-39:soil:ecological,reviewed-host-39,soil,ecological,commissioned,,soil-asset-023,1,0.98,none,none,,controlled-commission-023,,,,6318a385
assignment,reviewed-host-42:heat:reference,reviewed-host-42,heat,reference,commissioned,,heat-asset-024,0.94,0.88,none,none,,controlled-commission-024,,,,6318a385
assignment,reviewed-host-42:air:community,reviewed-host-42,air,community,commissioned,,air-asset-025,0.97,0.93,none,none,,controlled-commission-025,,,,6318a385
assignment,reviewed-host-45:soil:community-safety,reviewed-host-45,soil,community-safety,commissioned,,soil-asset-026,1,0.98,medium,open,,controlled-commission-026,,,,6318a385
assignment,reviewed-host-45:heat:reference,reviewed-host-45,heat,reference,commissioned,,heat-asset-027,0.94,0.88,none,none,,controlled-commission-027,,,,6318a385
assignment,reviewed-host-02:soil:community-safety,reviewed-host-02,soil,community-safety,provisional,1,soil-asset-028,1,0.76,high,open,,controlled-commission-028,,,,6318a385
assignment,reviewed-host-03:soil:ecological,reviewed-host-03,soil,ecological,commissioned,,soil-asset-029,1,0.98,none,none,,controlled-commission-029,,,,6318a385
assignment,reviewed-host-05:soil:community-safety,reviewed-host-05,soil,community-safety,commissioned,,soil-asset-030,1,0.98,none,none,,controlled-commission-030,,,,6318a385
assignment,reviewed-host-07:water:treatment-system,reviewed-host-07,water,treatment-system,commissioned,,water-asset-031,0.95,0.9,none,none,,controlled-commission-031,,,,6318a385
assignment,reviewed-host-08:soil:disturbance,reviewed-host-08,soil,disturbance,commissioned,,soil-asset-032,1,0.98,none,none,,controlled-commission-032,,,,6318a385
assignment,reviewed-host-13:soil:ecological,reviewed-host-13,soil,ecological,commissioned,,soil-asset-033,1,0.98,none,none,,controlled-commission-033,,,,6318a385
assignment,reviewed-host-18:soil:disturbance,reviewed-host-18,soil,disturbance,commissioned,,soil-asset-034,1,0.98,none,none,,controlled-commission-034,,,,6318a385
assignment,reviewed-host-22:soil:community-safety,reviewed-host-22,soil,community-safety,commissioned,,soil-asset-035,1,0.98,none,none,,controlled-commission-035,,,,6318a385
assignment,reviewed-host-23:soil:ecological,reviewed-host-23,soil,ecological,commissioned,,soil-asset-036,1,0.98,none,none,,controlled-commission-036,,,,6318a385
assignment,reviewed-host-25:soil:community-safety,reviewed-host-25,soil,community-safety,commissioned,,soil-asset-037,1,0.98,none,none,,controlled-commission-037,,,,6318a385
assignment,reviewed-host-28:soil:disturbance,reviewed-host-28,soil,disturbance,commissioned,,soil-asset-038,1,0.98,none,none,,controlled-commission-038,,,,6318a385
assignment,reviewed-host-38:soil:disturbance,reviewed-host-38,soil,disturbance,provisional,1,soil-asset-039,1,0.76,high,open,,controlled-commission-039,,,,6318a385
assignment,reviewed-host-41:soil:ecological,reviewed-host-41,soil,ecological,commissioned,,soil-asset-040,1,0.98,none,none,,controlled-commission-040,,,,6318a385
assignment,reviewed-host-43:soil:ecological,reviewed-host-19,soil,ecological,commissioned,,soil-asset-041,1,0.98,none,none,,controlled-commission-041,,,,6318a385
assignment,reviewed-host-44:air:source-oriented,reviewed-host-44,air,source-oriented,commissioned,,air-asset-042,0.99,0.93,none,none,,controlled-commission-042,,,,6318a385
replacement,reviewed-host-12:soil:community-safety,reviewed-host-12,soil,community-safety,replacement-ready,,,,,high,open,reviewed-host-17,,,,Treatment facility 17,6318a385
replacement,reviewed-host-14:air:source-oriented,reviewed-host-40,air,source-oriented,replacement-ready,,,,,high,open,reviewed-host-20,,,,Background/reference site 20,6318a385
replacement,reviewed-host-24:heat:reference,reviewed-host-24,heat,reference,replacement-ready,,,,,high,open,reviewed-host-04,,,,Transit or mobility 04,6318a385
